DIA;MES;AÑO;TERMINAL;MONTO;RESPUESTA;MENSAJE;TRX;TARJETA;BIN
26;05;2012;AT05;375;1;1;1;4000010000008931;400001
20;11;2010;AT25;80;1;2;1;4010010000009493;401001
6;11;2010;AT04;40;1;5;1;4000030000003036;400003
27;06;2010;AT09;90;1;2;1;4000020000004539;400002
8;06;2012;AT25;75;1;4;1;4000040000006846;400004
19;09;2011;AT16;30;1;5;1;4000010000005865;400001
6;10;2011;AT23;80;1;1;1;4010020000005852;401002
24;01;2012;AT21;35;1;4;1;4010020000006879;401002
7;04;2011;AT07;80;1;3;1;4000020000008637;400002
10;08;2012;AT19;40;1;5;1;4010010000009256;401001
18;12;2011;AT15;300;1;5;1;4010010000001340;401001
11;04;2010;AT25;100;1;3;1;4000040000006817;400004
2;04;2010;AT22;90;1;2;1;4010020000006632;401002
9;11;2011;AT23;30;1;5;1;4010020000004662;401002
3;06;2012;AT13;135;1;3;1;4010010000003869;401001
22;03;2011;AT10;35;1;4;1;4000010000005708;400001
27;04;2011;AT16;50;1;2;1;4000020000008737;400002
11;10;2010;AT17;35;1;3;1;4010010000003726;401001
10;03;2011;AT08;150;1;5;1;4000010000007313;400001
10;04;2011;AT09;10;1;2;1;4010020000009710;401002
28;05;2011;AT25;105;1;5;1;4000030000003421;400003
2;06;2011;AT25;20;1;1;1;4000010000003796;400001
21;03;2011;AT05;120;1;2;1;4000030000004878;400003
13;08;2012;AT20;15;1;1;1;4010010000004117;401001
3;08;2010;AT14;25;1;3;1;4000010000005657;400001
5;02;2012;AT07;40;1;3;1;4000030000008588;400003
10;08;2011;AT05;135;1;4;1;4000020000001839;400002
22;12;2010;AT05;60;1;5;1;4010010000009748;401001
3;10;2012;AT19;50;1;2;1;4000020000008392;400002
1;06;2011;AT20;40;1;2;1;4000010000006000;400001
5;04;2011;AT05;40;1;2;1;4000010000009047;400001
20;05;2011;AT19;55;1;4;1;4000020000001269;400002
4;09;2012;AT05;20;1;2;1;4000030000002396;400003
22;06;2010;AT12;25;1;3;1;4010010000009025;401001
23;09;2011;AT04;50;1;1;1;4000040000005174;400004
7;08;2012;AT03;95;1;3;1;4000030000004019;400003
26;11;2011;AT21;35;1;1;1;4000020000006626;400002
22;09;2010;AT05;250;1;2;1;4000020000003942;400002
23;09;2011;AT13;375;1;4;1;4000030000008241;400003
3;05;2012;AT16;50;1;4;1;4000010000009948;400001
29;06;2010;AT03;85;1;4;1;4010020000001156;401002
14;05;2011;AT14;55;1;1;1;4010020000006347;401002
5;09;2011;AT09;80;1;5;1;4010010000006153;401001
16;10;2012;AT07;5;1;1;1;4000010000004613;400001
19;07;2012;AT15;105;1;2;1;4010020000006679;401002
8;11;2011;AT14;30;1;1;1;4000030000004844;400003
30;05;2011;AT12;60;1;5;1;4000020000009945;400002
4;08;2012;AT06;175;1;2;1;4000020000008822;400002
15;06;2012;AT05;80;1;4;1;4010020000001316;401002
7;08;2010;AT10;45;1;1;1;4000020000008737;400002
4;11;2010;AT23;15;1;1;1;4010010000004927;401001
24;05;2012;AT05;30;1;2;1;4000030000007099;400003
20;11;2012;AT02;25;1;2;1;4000020000009316;400002
17;11;2011;AT10;80;1;5;1;4000040000008292;400004
21;10;2010;AT04;50;1;4;1;4000010000009393;400001
27;03;2010;AT23;95;1;3;1;4000040000009017;400004
8;03;2010;AT09;70;1;5;1;4000020000007509;400002
6;02;2010;AT25;5;1;5;1;4000020000003109;400002
7;05;2010;AT20;100;1;1;1;4010010000007253;401001
20;02;2012;AT22;110;1;5;1;4000020000006559;400002
11;06;2010;AT23;55;1;1;1;4010010000002770;401001
30;10;2010;AT24;30;1;5;1;4000020000003183;400002
9;01;2012;AT16;145;1;1;1;4000030000008178;400003
4;03;2012;AT03;115;1;1;1;4000040000006346;400004
2;07;2010;AT02;35;1;1;1;4000030000002643;400003
26;02;2010;AT03;25;1;1;1;4010020000005720;401002
29;01;2010;AT04;95;1;2;1;4000030000004409;400003
3;12;2010;AT03;95;1;1;1;4010010000001351;401001
22;08;2011;AT14;50;1;1;1;4000030000004681;400003
18;05;2010;AT15;35;1;5;1;4000010000008344;400001
12;02;2011;AT08;90;1;1;1;4010010000003946;401001
26;07;2012;AT09;115;1;5;1;4000030000001569;400003
5;02;2012;AT17;145;1;1;1;4000010000005105;400001
5;06;2012;AT17;15;1;4;1;4000030000002767;400003
13;07;2012;AT05;50;1;1;1;4010010000001153;401001
29;09;2012;AT22;250;1;2;1;4000030000001288;400003
11;11;2010;AT17;45;1;3;1;4000020000006260;400002
23;05;2011;AT06;55;1;3;1;4000020000001921;400002
11;09;2011;AT23;105;1;1;1;4010010000003217;401001
20;08;2012;AT10;200;1;3;1;4010010000009132;401001
20;03;2012;AT09;25;1;5;1;4000040000008338;400004
22;05;2011;AT05;105;1;5;1;4010010000007005;401001
20;08;2011;AT04;110;1;3;1;4010010000004537;401001
2;11;2011;AT10;110;1;3;1;4000020000002975;400002
15;05;2010;AT05;45;1;3;1;4000030000007008;400003
24;04;2012;AT21;250;1;1;1;4000020000001805;400002
10;10;2010;AT19;90;1;1;1;4010010000007351;401001
3;06;2011;AT07;10;1;3;1;4000020000004984;400002
2;04;2010;AT23;100;1;3;1;4000040000008414;400004
27;11;2011;AT10;85;1;5;1;4000020000002553;400002
7;01;2010;AT20;120;1;5;1;4000020000006580;400002
7;04;2012;AT19;105;1;4;1;4000030000006392;400003
13;02;2011;AT24;85;1;4;1;4010010000006624;401001
15;04;2010;AT16;25;1;1;1;4000010000006607;400001
16;08;2010;AT14;115;1;3;1;4010020000001045;401002
6;10;2011;AT02;120;1;3;1;4000030000009922;400003
28;06;2012;AT14;65;1;4;1;4000030000006353;400003
18;09;2012;AT15;250;1;4;1;4000020000008680;400002
7;02;2011;AT18;105;1;1;1;4010010000003464;401001
16;11;2012;AT05;145;1;4;1;4010010000005732;401001
19;08;2011;AT05;10;1;4;1;4000020000005394;400002
16;10;2010;AT13;125;1;4;1;4000030000001048;400003
20;09;2010;AT01;25;1;3;1;4010020000006730;401002
16;08;2011;AT16;45;1;4;1;4000040000003028;400004
8;08;2012;AT25;50;1;1;1;4000030000009678;400003
2;07;2011;AT14;45;1;4;1;4000030000006208;400003
6;09;2011;AT25;105;1;4;1;4010020000004496;401002
22;04;2012;AT19;105;1;2;1;4000010000004082;400001
6;12;2012;AT15;25;1;5;1;4010010000004068;401001
22;05;2010;AT18;40;1;2;1;4010020000008701;401002
25;08;2010;AT08;30;1;1;1;4010020000006553;401002
8;02;2011;AT07;120;1;4;1;4000010000004739;400001
30;03;2010;AT02;30;1;3;1;4010020000002428;401002
23;09;2010;AT04;90;1;5;1;4010020000006327;401002
11;10;2010;AT22;25;1;4;1;4010010000002869;401001
16;02;2010;AT11;90;1;3;1;4010020000008946;401002
4;09;2012;AT20;110;1;3;1;4000010000005039;400001
26;11;2012;AT06;90;1;3;1;4000040000004765;400004
6;09;2011;AT07;70;1;3;1;4010020000005664;401002
25;12;2010;AT01;85;1;5;1;4010010000008280;401001
28;02;2011;AT24;45;1;2;1;4000040000005495;400004
25;10;2010;AT14;135;1;3;1;4010010000001541;401001
19;11;2012;AT11;25;1;2;1;4010020000006312;401002
30;09;2011;AT13;125;1;2;1;4010010000005146;401001
12;10;2010;AT09;65;1;3;1;4010020000001968;401002
6;10;2012;AT20;60;1;4;1;4000020000009080;400002
8;09;2010;AT08;65;1;4;1;4000020000002287;400002
17;10;2010;AT20;5;1;2;1;4010020000005083;401002
24;09;2012;AT02;200;1;1;1;4000040000002738;400004
25;10;2012;AT20;110;1;3;1;4010010000007460;401001
19;04;2010;AT05;35;1;3;1;4000010000004176;400001
29;10;2011;AT25;375;1;1;1;4010010000001549;401001
30;04;2011;AT08;145;1;1;1;4010020000004083;401002
19;07;2011;AT25;135;1;4;1;4010010000008158;401001
31;07;2011;AT22;110;1;3;1;4010010000004461;401001
20;03;2010;AT25;65;1;2;1;4010020000001549;401002
28;10;2011;AT18;115;1;4;1;4010010000006551;401001
30;07;2012;AT12;450;1;1;1;4010020000002789;401002
9;06;2011;AT22;450;1;3;1;4010010000007753;401001
17;05;2011;AT05;95;1;1;1;4000020000001458;400002
2;09;2010;AT02;85;1;5;1;4000010000002290;400001
4;11;2010;AT21;40;1;2;1;4000020000007651;400002
19;06;2012;AT23;85;1;2;1;4010020000002199;401002
6;02;2012;AT04;450;1;5;1;4000010000004410;400001
22;01;2010;AT17;300;1;4;1;4010020000009524;401002
10;09;2012;AT23;175;1;4;1;4010020000003448;401002
19;01;2012;AT04;25;1;5;1;4010020000006447;401002
10;02;2011;AT06;5;1;4;1;4000040000007056;400004
9;05;2011;AT15;300;1;4;1;4000040000001337;400004
27;07;2010;AT17;125;1;2;1;4010010000008369;401001
13;09;2012;AT25;10;1;4;1;4010010000005826;401001
4;02;2012;AT05;85;1;4;1;4000040000007640;400004
13;03;2012;AT13;85;1;4;1;4000010000005187;400001
15;03;2011;AT22;95;1;3;1;4000040000004999;400004
28;08;2012;AT18;10;1;4;1;4000030000003199;400003
6;09;2010;AT02;90;1;3;1;4000020000003872;400002
29;11;2010;AT13;95;1;2;1;4010010000004394;401001
20;04;2011;AT01;145;1;1;1;4000020000002520;400002
27;02;2012;AT24;300;1;3;1;4010020000001754;401002
14;08;2012;AT06;70;1;1;1;4000040000002568;400004
28;02;2011;AT08;10;1;1;1;4000020000007012;400002
29;09;2012;AT01;45;1;5;1;4000020000002015;400002
11;01;2011;AT01;65;1;2;1;4000030000003991;400003
18;08;2011;AT15;175;1;4;1;4000010000005977;400001
22;08;2010;AT21;375;1;3;1;4010020000006809;401002
10;04;2012;AT12;145;1;4;1;4000030000008821;400003
12;09;2012;AT25;35;1;5;1;4000020000006822;400002
7;02;2012;AT20;35;1;4;1;4000040000001886;400004
13;04;2010;AT15;30;1;2;1;4000040000008109;400004
1;03;2012;AT24;40;1;5;1;4000020000009751;400002
26;05;2012;AT01;45;1;3;1;4000020000005016;400002
29;08;2010;AT03;15;1;4;1;4010020000003603;401002
27;12;2012;AT23;35;1;5;1;4000040000004275;400004
17;11;2011;AT14;145;1;2;1;4000040000002119;400004
18;06;2011;AT18;110;1;5;1;4000030000005484;400003
3;11;2011;AT17;65;1;2;1;4000030000008126;400003
7;05;2010;AT03;115;1;4;1;4000020000004454;400002
4;02;2010;AT01;5;1;2;1;4010020000002810;401002
4;03;2011;AT17;200;1;4;1;4000020000001911;400002
18;02;2011;AT20;15;1;5;1;4000030000002138;400003
7;11;2012;AT23;50;1;4;1;4000010000003593;400001
19;03;2011;AT07;55;1;4;1;4010020000008340;401002
22;03;2011;AT08;145;1;1;1;4000040000001982;400004
11;11;2012;AT15;50;1;4;1;4010010000004708;401001
23;05;2012;AT06;30;1;1;1;4000020000007903;400002
12;05;2011;AT14;175;1;4;1;4000010000002416;400001
11;03;2011;AT19;300;1;1;1;4000030000004091;400003
25;12;2010;AT14;20;1;5;1;4010010000004549;401001
23;11;2010;AT15;40;1;2;1;4010020000004417;401002
11;04;2010;AT07;145;1;5;1;4010010000006030;401001
1;05;2012;AT04;5;1;2;1;4000030000005491;400003
26;01;2012;AT04;45;1;2;1;4000030000004438;400003
4;02;2010;AT06;105;1;1;1;4000010000005505;400001
17;04;2010;AT09;105;1;4;1;4010010000007052;401001
18;11;2011;AT11;200;1;1;1;4000020000003800;400002
17;06;2010;AT18;125;1;3;1;4000010000007816;400001
20;05;2011;AT06;300;1;3;1;4000040000008348;400004
3;05;2012;AT05;55;1;4;1;4000010000005293;400001
24;09;2010;AT19;35;1;2;1;4000020000008069;400002
10;02;2012;AT24;55;1;3;1;4010010000007780;401001
11;09;2011;AT02;30;1;4;1;4000020000009240;400002
11;08;2012;AT12;55;1;2;1;4010010000009472;401001
14;06;2012;AT24;145;1;4;1;4010010000003634;401001
7;11;2012;AT23;25;1;5;1;4000010000001989;400001
16;11;2011;AT14;90;1;1;1;4010010000009338;401001
29;03;2012;AT09;175;1;2;1;4000010000007514;400001
21;09;2010;AT07;375;1;4;1;4000040000002486;400004
29;08;2010;AT23;55;1;1;1;4010020000002172;401002
23;09;2012;AT08;150;1;5;1;4010020000008320;401002
14;05;2012;AT03;120;1;1;1;4010020000003279;401002
4;12;2010;AT25;200;1;3;1;4000040000009864;400004
12;12;2010;AT05;80;1;3;1;4000030000003313;400003
17;12;2011;AT16;15;1;5;1;4000010000003592;400001
13;02;2010;AT25;65;1;4;1;4000010000004808;400001
21;03;2012;AT17;120;1;4;1;4010010000001384;401001
11;07;2011;AT09;5;1;1;1;4010020000006078;401002
15;01;2011;AT07;80;1;4;1;4000020000007777;400002
15;06;2011;AT12;25;1;2;1;4010010000009520;401001
22;10;2011;AT04;10;1;4;1;4000020000006965;400002
11;06;2010;AT17;115;1;1;1;4000020000003596;400002
19;05;2011;AT25;300;1;1;1;4010010000001942;401001
7;09;2011;AT01;40;1;5;1;4010010000007577;401001
8;01;2010;AT25;30;1;2;1;4000010000009668;400001
11;02;2011;AT16;175;1;5;1;4010010000005547;401001
12;05;2012;AT25;95;1;1;1;4000030000008358;400003
8;09;2010;AT14;105;1;5;1;4010010000007493;401001
29;10;2010;AT15;15;1;3;1;4000020000003990;400002
25;03;2010;AT09;15;1;2;1;4000030000002013;400003
28;11;2010;AT05;450;1;2;1;4000020000009011;400002
12;03;2010;AT22;145;1;4;1;4000020000009463;400002
19;11;2012;AT02;95;1;2;1;4000040000006714;400004
30;07;2010;AT09;200;1;3;1;4000010000009018;400001
15;01;2010;AT05;50;1;3;1;4000020000005910;400002
6;07;2012;AT12;500;1;4;1;4000020000005377;400002
16;11;2011;AT25;375;1;5;1;4000010000006322;400001
9;12;2011;AT24;145;1;5;1;4000020000008449;400002
30;06;2011;AT21;375;1;1;1;4000030000004568;400003
16;04;2010;AT12;90;1;4;1;4010010000009658;401001
28;11;2010;AT09;10;1;3;1;4000030000005300;400003
23;01;2010;AT20;500;1;1;1;4000040000008629;400004
19;06;2012;AT18;300;1;5;1;4000030000008191;400003
1;08;2010;AT02;145;1;2;1;4010010000003626;401001
17;03;2010;AT25;95;1;5;1;4000010000003851;400001
16;11;2012;AT13;200;1;5;1;4010010000001391;401001
2;12;2012;AT22;30;1;3;1;4000030000001058;400003
19;08;2012;AT13;150;1;4;1;4010020000005512;401002
29;05;2012;AT10;45;1;5;1;4000010000004234;400001
16;11;2010;AT08;20;1;4;1;4010020000003135;401002
26;01;2011;AT19;250;1;1;1;4000020000008517;400002
18;12;2010;AT14;65;1;5;1;4000030000005011;400003
26;02;2011;AT08;60;1;2;1;4010010000007822;401001
28;04;2010;AT11;300;1;1;1;4010010000007975;401001
4;10;2010;AT01;40;1;4;1;4000030000005512;400003
27;03;2012;AT18;100;1;2;1;4010010000003321;401001
6;11;2011;AT08;10;1;3;1;4000010000005696;400001
11;04;2012;AT05;300;1;4;1;4000040000003155;400004
27;02;2011;AT16;90;1;5;1;4000040000008565;400004
24;08;2010;AT10;175;1;5;1;4000010000002552;400001
26;12;2011;AT03;75;1;4;1;4000010000001888;400001
17;09;2011;AT22;70;1;4;1;4010010000001076;401001
5;02;2012;AT01;500;1;5;1;4010020000007237;401002
23;03;2010;AT16;375;1;4;1;4000030000008328;400003
12;08;2011;AT10;90;1;3;1;4000020000003103;400002
17;06;2010;AT09;35;1;5;1;4000030000005471;400003
6;10;2010;AT21;40;1;4;1;4000030000002164;400003
6;06;2011;AT03;85;1;5;1;4010010000007208;401001
28;02;2011;AT23;25;1;3;1;4000040000001490;400004
21;04;2011;AT23;50;1;4;1;4000040000007992;400004
12;09;2011;AT15;90;1;5;1;4000010000002674;400001
11;02;2010;AT24;50;1;2;1;4000010000007069;400001
4;06;2012;AT05;75;1;4;1;4000020000005246;400002
24;11;2011;AT23;70;1;1;1;4010020000004657;401002
2;06;2010;AT06;145;1;4;1;4010010000005681;401001
11;10;2012;AT10;80;1;2;1;4000030000009468;400003
2;03;2011;AT11;150;1;1;1;4000030000008951;400003
16;12;2011;AT12;20;1;1;1;4000020000007082;400002
30;07;2011;AT24;450;1;4;1;4000040000001936;400004
29;10;2011;AT07;35;1;5;1;4000020000003116;400002
24;06;2012;AT09;5;1;1;1;4010010000007556;401001
15;12;2010;AT18;450;1;3;1;4010010000004785;401001
7;07;2012;AT15;250;1;4;1;4000040000001168;400004
10;09;2012;AT04;145;1;5;1;4000010000008314;400001
6;07;2010;AT10;500;1;1;1;4000040000005499;400004
17;06;2012;AT23;50;1;1;1;4010020000006102;401002
28;04;2010;AT17;95;1;4;1;4000010000005575;400001
4;11;2012;AT16;80;1;3;1;4000020000009485;400002
1;11;2011;AT08;70;1;2;1;4000020000009834;400002
30;04;2012;AT24;75;1;3;1;4000010000005598;400001
16;03;2011;AT09;500;1;2;1;4010010000007541;401001
2;03;2010;AT09;55;1;2;1;4000010000006632;400001
3;09;2011;AT10;200;1;4;1;4000020000007511;400002
21;03;2011;AT08;110;1;2;1;4000020000004761;400002
9;05;2011;AT09;120;1;4;1;4010020000007831;401002
30;06;2010;AT09;35;1;2;1;4010010000009056;401001
14;09;2010;AT09;20;1;4;1;4000040000004156;400004
9;07;2012;AT10;55;1;5;1;4010020000003658;401002
27;02;2011;AT23;45;1;3;1;4000010000005279;400001
23;11;2012;AT05;90;1;1;1;4010010000005324;401001
11;11;2010;AT25;500;1;1;1;4010020000003774;401002
8;11;2011;AT08;35;1;2;1;4000020000009884;400002
25;07;2010;AT13;125;1;5;1;4010010000009229;401001
7;07;2010;AT23;90;1;4;1;4000040000001638;400004
3;11;2011;AT04;145;1;3;1;4010020000001532;401002
7;12;2010;AT13;120;1;3;1;4000030000004103;400003
29;10;2012;AT21;100;1;5;1;4000040000006047;400004
30;05;2012;AT20;120;1;5;1;4010020000006770;401002
20;12;2012;AT09;5;1;2;1;4010020000001214;401002
16;11;2010;AT16;35;1;2;1;4000020000006518;400002
15;01;2010;AT02;75;1;1;1;4010010000006147;401001
10;05;2012;AT09;90;1;4;1;4000040000001334;400004
19;02;2012;AT07;135;1;4;1;4010020000003583;401002
10;11;2011;AT13;85;1;5;1;4000010000006375;400001
9;09;2012;AT23;25;1;1;1;4000010000003501;400001
1;03;2012;AT04;80;1;4;1;4000040000005882;400004
11;12;2010;AT23;145;1;4;1;4000030000004869;400003
30;01;2010;AT21;5;1;1;1;4000020000002279;400002
23;06;2012;AT07;145;1;5;1;4000010000007867;400001
18;03;2011;AT14;250;1;2;1;4010010000006798;401001
16;12;2011;AT03;55;1;3;1;4000030000004477;400003
26;03;2012;AT22;65;1;2;1;4000020000003735;400002
23;09;2010;AT02;55;1;1;1;4000010000003630;400001
9;02;2011;AT07;90;1;4;1;4010020000001622;401002
14;07;2010;AT14;80;1;3;1;4010010000007123;401001
26;08;2010;AT16;55;1;4;1;4010020000009896;401002
22;10;2011;AT15;100;1;5;1;4000030000006167;400003
4;02;2011;AT22;55;1;1;1;4000020000007476;400002
22;09;2011;AT05;80;1;4;1;4010020000008514;401002
23;05;2012;AT14;300;1;2;1;4010010000004013;401001
29;10;2012;AT04;70;1;4;1;4000030000001619;400003
8;08;2010;AT13;25;1;3;1;4000010000001124;400001
16;08;2012;AT06;125;1;5;1;4000010000002326;400001
7;10;2011;AT09;500;1;3;1;4010020000003184;401002
14;03;2012;AT04;90;1;2;1;4000030000005906;400003
17;10;2011;AT25;120;1;2;1;4000010000001622;400001
16;03;2010;AT22;35;1;5;1;4000030000004906;400003
27;12;2012;AT01;100;1;2;1;4000030000002909;400003
10;03;2011;AT23;55;1;3;1;4010020000003060;401002
14;04;2010;AT24;80;1;5;1;4000030000002279;400003
17;04;2012;AT07;75;1;2;1;4000010000007274;400001
25;05;2012;AT11;500;1;3;1;4000010000007962;400001
11;11;2011;AT01;150;1;4;1;4000010000007106;400001
23;11;2011;AT21;40;1;4;1;4000010000002827;400001
2;05;2012;AT22;45;1;1;1;4010010000007604;401001
24;07;2010;AT14;20;1;3;1;4010010000004008;401001
18;07;2012;AT13;375;1;5;1;4010010000004037;401001
10;06;2011;AT02;105;1;2;1;4000020000009240;400002
14;04;2010;AT11;20;1;4;1;4000040000007942;400004
28;06;2010;AT03;10;1;1;1;4000040000004130;400004
5;05;2011;AT09;200;1;1;1;4000040000003197;400004
18;08;2011;AT02;125;1;4;1;4000040000003152;400004
25;08;2011;AT01;40;1;3;1;4000010000009848;400001
11;11;2010;AT09;30;1;1;1;4000010000007383;400001
13;03;2012;AT13;65;1;4;1;4000030000001689;400003
2;07;2012;AT15;175;1;4;1;4010020000006710;401002
18;03;2012;AT07;85;1;4;1;4000020000009183;400002
4;11;2010;AT23;105;1;5;1;4000010000001626;400001
31;08;2011;AT08;90;1;3;1;4010020000009994;401002
13;10;2011;AT12;40;1;1;1;4000020000009764;400002
13;02;2011;AT18;5;1;4;1;4010010000004854;401001
7;02;2010;AT05;45;1;2;1;4010010000006780;401001
29;08;2011;AT15;75;1;1;1;4000020000006645;400002
21;11;2010;AT09;450;1;2;1;4000020000005597;400002
8;04;2012;AT19;115;1;5;1;4010010000004041;401001
18;08;2011;AT15;80;1;4;1;4000010000006186;400001
18;08;2010;AT17;55;1;4;1;4000020000008866;400002
17;05;2011;AT14;120;1;5;1;4000020000007119;400002
10;11;2012;AT22;70;1;1;1;4010010000001280;401001
3;05;2012;AT15;150;1;3;1;4000030000002346;400003
17;09;2012;AT22;25;1;3;1;4000020000004578;400002
11;06;2010;AT12;125;1;2;1;4010020000005179;401002
5;09;2011;AT08;15;1;4;1;4000010000008200;400001
24;10;2010;AT04;25;1;5;1;4000040000003292;400004
2;07;2010;AT08;115;1;5;1;4000030000009851;400003
17;11;2012;AT12;150;1;4;1;4000020000004712;400002
16;11;2011;AT09;85;1;2;1;4010020000006182;401002
18;09;2012;AT13;85;1;4;1;4010010000001701;401001
16;11;2012;AT21;10;1;1;1;4010010000008666;401001
25;02;2012;AT08;45;1;1;1;4010020000006190;401002
8;06;2010;AT01;85;1;5;1;4010020000002162;401002
2;04;2011;AT18;300;1;3;1;4000040000003314;400004
30;07;2011;AT10;115;1;3;1;4000040000002098;400004
24;03;2010;AT06;450;1;1;1;4000020000006004;400002
28;05;2010;AT02;250;1;2;1;4000030000006006;400003
20;11;2010;AT25;15;1;2;1;4000040000001125;400004
10;07;2012;AT23;120;1;3;1;4000030000002784;400003
29;08;2010;AT21;50;1;5;1;4000030000006995;400003
5;05;2010;AT08;110;1;3;1;4000010000006353;400001
21;04;2011;AT13;110;1;1;1;4000010000001654;400001
20;05;2010;AT16;45;1;1;1;4000020000008352;400002
24;12;2011;AT01;5;1;4;1;4000010000008729;400001
15;07;2011;AT01;500;1;2;1;4010020000005052;401002
27;06;2012;AT17;45;1;3;1;4010010000001010;401001
